tweet_id,user_id,user_name,followers_count,friends_count,user_location,text,retweet_count
704818866699034625,527550615,NoDrumpf/NoHillary,1837,1358,Sanity & Common Sense,"RT @angelaisms: Protip: When Photoshopping a CNN screenshot, start with something a little more recent. #DallasEbola  https://t.co/KBKazyQU…",0
704818866694823936,4352675895,POLITDECAL,54,16,None,#SuperTuesday Bernie Sanders #FEELtheBERN HUGE 8ft BANNER Sign  #p2 #BlackLivesMatter https://t.co/Cq9NP001Ty,0
704818866745004032,416690465,AztlanConnect,1815,1542,California,@glennbeck @realDonaldTrump  Calypso Louie thinks Trump will be picked up by the African Mothership and flown off to DC...,0
704818867256754176,777087686,Squire Smudge,251,345,the Christ-haunted South,RT @Mcely: The best quote describing Donald Trump: https://t.co/7ngfXyEqkZ https://t.co/h6JbPcKrbc,0
704818867294466048,703845938696052736,Mike,45,73,None,@realDonaldTrump wins Georgia! #MakeAmericaGreatAgain,0
704818867642753024,242957322,פְּנִינָה,420,292,umd'19,RT @TheDailyShow: This is @TedCruz’s #SuperTuesday hype playlist. https://t.co/WG6CgIzlpb,0
704818867114213381,4850292184,Diacritical Decals,25,0,None,#SuperTuesday Hillary Clinton #FightingForUs Large White Custom Decal IntlShip  #LibCrib #tcot #BLM https://t.co/cxZjCoDyyK,0
704818867638501377,3701618555,The TRUMPetts ™,2786,1451,United States of AMERICA,"🚨#1 Trump Train Tune
NOW On CALL 4 ALL 👏https://t.co/wHEIHYr02P
""@chriskyleband: @POLITICAL_Jeff @realDonaldTrump https://t.co/Uff3URlxDL""",0
704818868133486592,2993222656,UK Elections,2995,2,"The Election Centre, UK",RT @US_Votes: Hillary Clinton projected to win Georgia. https://t.co/iBj3oGN3sx,0
704818868087332864,29024191,Jason,708,326,Twatshire,"RT @CNN: BREAKING: CNN projects @HillaryClinton wins Virginia &amp; Georgia, @BernieSanders wins Vermont https://t.co/GgxMgrIyS1 https://t.co/k…",0
704818868024385537,697949201490059264,Decals McGee,22,0,None,#SuperTuesday Hillary Clinton #FightingForUs Large Black Custom Decal IntlShip  #p2 #BlackLivesMatter https://t.co/X3KGAWJh7J,0
704818868062130177,701195846021472257,The Working Poor,107,322,None,Yeah but there's been a bunch of times we needed you. #StayInLine #NotYourFirewall https://t.co/yNAPl6BC9Z,0
704818868196413440,182471398,Meredith,963,760,Prince George,You are joking me  https://t.co/v1rbZpJLBJ,0
704818868544532481,282292279,lewis touchet,90,42,Louisiana,"RT @LindaSuhler: Americans are coming together for @realDonaldTrump to #MakeAmericaGreatAgain!
#SuperTuesday
#Trump2016
#AlwaysTrump https:…",0
704818868233998336,23899670,gericagoodman,294,380,None,@HillaryClinton projected winner in Virginia!!!!!,0
704818868171075584,2791180910,#SuperTuesday,1022,2221,worldwide,@foxnews declares @realDonaldTrump will win Georgia #supee,0
704818868154458112,2296055794,Pearlsie,37,24,None,@CNN @HillaryClinton @BernieSanders wow how intelligent,0
704818868439482368,33970584,Shannon Singleton,500,627,None,RT @voxdotcom: Hillary Clinton wins Virginia Democratic primary https://t.co/lCvKoP4JUC,0
